iteration,mse,total_samples,average_mse,standard_deviation
0,[0.6870445],1468,0.6870445013046265,0.0
1,[0.68423206],1477,0.6856382787227631,0.0014062225818634033
2,[0.6838619],1490,0.6850461562474569,0.0014211002842940102
3,[0.7435916],1423,0.6996825188398361,0.02538077962396568
4,[0.6423686],1476,0.6882197380065918,0.032263424449060316
