iteration,accuracy,total_samples,average_acc,standard_deviation
0,0.447368421053,1520,0.4473684210526316,0.0
1,0.447295423024,1442,0.447331922038105,3.649901452659754e-05
2,0.434377081945,1501,0.4430136420071933,0.006107042898936417
3,0.457161981258,1494,0.44655072681998664,0.008093508920472524
4,0.448299319728,1470,0.4469004454015676,0.00727276575051242
