iteration,mse,total_samples,average_mse,standard_deviation
0,[0.8686911],1507,0.868691086769104,0.0
1,[0.90762764],1449,0.8881593644618988,0.0194682776927948
2,[1.0246396],1504,0.9336527784665426,0.0662719950392196
