iteration,accuracy,total_samples,average_acc,standard_deviation
0,0.47226074896,1442,0.4722607489597781,0.0
1,0.466712898752,1442,0.4694868238557559,0.00277392510402219
2,0.485263879369,1459,0.4747458423603143,0.007774594839457874
3,0.47602739726,1460,0.4750662310853042,0.006755826410854245
4,0.48313833448,1453,0.47668065176432045,0.0068511582166972005
