iteration,mse,total_samples,average_mse,standard_deviation
0,[0.5708527],1441,0.5708526968955994,0.0
1,[0.63929814],1455,0.6050754189491272,0.03422272205352783
2,[0.6489647],1420,0.6197051803270975,0.03476861092692739
3,[0.59353095],1529,0.6131616234779358,0.03217291777342672
4,[0.6386272],1452,0.6182547330856323,0.030525995026347372
