iteration,mse,total_samples,average_mse,standard_deviation
0,[0.60034204],1420,0.6003420352935791,0.0
1,[0.59466624],1401,0.5975041389465332,0.0028378963470458984
2,[0.5783268],1433,0.5911116997400919,0.009332505654993122
3,[0.6146316],1419,0.5969916731119156,0.013001692463307374
4,[0.56873924],1396,0.5913411855697632,0.016215648102509413
