iteration,accuracy,total_samples,average_acc,standard_deviation
0,0.560925799864,1469,0.5609257998638529,0.0
1,0.550173010381,1445,0.5555494051222378,0.005376394741615054
2,0.536251709986,1462,0.5491168400769318,0.01010080193529012
3,0.551246537396,1444,0.5496492644067293,0.008796026193847499
4,0.537262872629,1476,0.5471719860511287,0.009297510077799886
