iteration,accuracy,total_samples,average_acc,standard_deviation
0,0.44315245478,1548,0.44315245478036175,0.0
1,0.456806282723,1528,0.4499793687514374,0.006826913971075682
2,0.464954892436,1441,0.4549712099795611,0.008994894511475353
3,0.473793103448,1450,0.4596766833467398,0.011274109023870174
4,0.468085106383,1551,0.46135836795398755,0.010629989647158894
