iteration,mse,total_samples,average_mse,standard_deviation
0,[1.4404372],915,1.4404371976852417,0.0
1,[1.8193116],1046,1.6298744082450867,0.18943721055984497
2,[1.3327172],1082,1.5308219989140828,0.2086793331526072
3,[2.9025126],995,1.873744636774063,0.6208446703760161
4,[1.221808],1073,1.7433573007583618,0.6134834254978115
